T^{-1},T,E,M,C_v,Chi
1.069519,0.935000,-0.999515,0.249939,0.011008,1602.680742
1.063830,0.940000,-0.999645,0.249956,0.006200,1594.579975
1.058201,0.945000,-0.999570,0.249946,0.009165,1585.899974
1.052632,0.950000,-0.997998,0.249746,0.036126,1572.456755
1.047120,0.955000,-0.999680,0.249960,0.005434,1569.647243
1.041667,0.960000,-0.998860,0.249858,0.022917,1558.842883
1.036269,0.965000,-0.998520,0.249811,0.033392,1549.689163
1.030928,0.970000,-0.999350,0.249919,0.014416,1544.329103
1.025641,0.975000,-0.998940,0.249865,0.017801,1535.112503
1.020408,0.980000,-0.999233,0.249899,0.014575,1528.203494
1.015228,0.985000,-0.998075,0.249759,0.030252,1516.819987
1.010101,0.990000,-0.999075,0.249884,0.013867,1512.270140
1.005025,0.995000,-0.999110,0.249889,0.013427,1504.779437
1.000000,1.000000,-0.999165,0.249896,0.013524,1497.426123
0.995025,1.005000,-0.999135,0.249888,0.013230,1489.886607
0.990099,1.010000,-0.998610,0.249824,0.019124,1480.905991
0.985222,1.015000,-0.998403,0.249799,0.022574,1472.981060
0.980392,1.020000,-0.997375,0.249661,0.039269,1462.669310
0.975610,1.025000,-0.998925,0.249864,0.017276,1460.183874
0.970874,1.030000,-0.997670,0.249708,0.032947,1449.340780
0.966184,1.035000,-0.998665,0.249823,0.020078,1445.308512
0.961538,1.040000,-0.998470,0.249806,0.022129,1437.775596
0.956938,1.045000,-0.997395,0.249672,0.034086,1427.726706
0.952381,1.050000,-0.997298,0.249656,0.036113,1420.646010
0.947867,1.055000,-0.997485,0.249679,0.030008,1414.456735
0.943396,1.060000,-0.997475,0.249683,0.031505,1407.753716
0.938967,1.065000,-0.998173,0.249756,0.028668,1403.178652
0.934579,1.070000,-0.997990,0.249749,0.025798,1396.079345
0.930233,1.075000,-0.996788,0.249579,0.039241,1386.156351
0.925926,1.080000,-0.997118,0.249627,0.033819,1380.673164
0.921659,1.085000,-0.997833,0.249729,0.027338,1376.332334
0.917431,1.090000,-0.997325,0.249649,0.037666,1368.602297
0.913242,1.095000,-0.997563,0.249695,0.033922,1363.008248
0.909091,1.100000,-0.995928,0.249481,0.047474,1352.242318
0.904977,1.105000,-0.997728,0.249708,0.025910,1351.132817
0.900901,1.110000,-0.996568,0.249548,0.048737,1341.852318
0.896861,1.115000,-0.996343,0.249534,0.033314,1335.185177
0.892857,1.120000,-0.996748,0.249573,0.037224,1330.354757
0.888889,1.125000,-0.996548,0.249548,0.039781,1323.896082
0.884956,1.130000,-0.996748,0.249581,0.040860,1318.580371
0.881057,1.135000,-0.997075,0.249628,0.029212,1313.646782
0.877193,1.140000,-0.996655,0.249569,0.031439,1306.753914
0.873362,1.145000,-0.996335,0.249540,0.041180,1300.187896
0.869565,1.150000,-0.997018,0.249613,0.049140,1296.386505
0.865801,1.155000,-0.994070,0.249169,0.070386,1282.976671
0.862069,1.160000,-0.997248,0.249649,0.030186,1285.797882
0.858369,1.165000,-0.995220,0.249383,0.057413,1274.945383
0.854701,1.170000,-0.994528,0.249270,0.057523,1267.690434
0.851064,1.175000,-0.994978,0.249354,0.063434,1263.465339
0.847458,1.180000,-0.993365,0.249123,0.106322,1253.972244
0.843882,1.185000,-0.995720,0.249451,0.037267,1254.704352
0.840336,1.190000,-0.993410,0.249138,0.064681,1243.496968
0.836820,1.195000,-0.995230,0.249391,0.056943,1242.962867
0.833333,1.200000,-0.994478,0.249299,0.064655,1235.858428
0.829876,1.205000,-0.993625,0.249172,0.071662,1228.573015
0.826446,1.210000,-0.993883,0.249208,0.082851,1224.163369
0.823045,1.215000,-0.992130,0.248949,0.083904,1214.714151
0.819672,1.220000,-0.994320,0.249271,0.065265,1215.209351
0.816327,1.225000,-0.995393,0.249403,0.052787,1212.935600
0.813008,1.230000,-0.992055,0.248984,0.075724,1199.677161
0.809717,1.235000,-0.993948,0.249217,0.079757,1199.544760
0.806452,1.240000,-0.991305,0.248839,0.098124,1188.204988
0.803213,1.245000,-0.992245,0.248922,0.094538,1185.773012
0.800000,1.250000,-0.994203,0.249255,0.053966,1185.744970
0.796813,1.255000,-0.992905,0.249088,0.076937,1177.869235
0.793651,1.260000,-0.992468,0.249018,0.066766,1172.124395
0.790514,1.265000,-0.991173,0.248809,0.101398,1164.418318
0.787402,1.270000,-0.991770,0.248928,0.080220,1161.226708
0.784314,1.275000,-0.991043,0.248754,0.074384,1154.964171
0.781250,1.280000,-0.991528,0.248868,0.102104,1151.619992
0.778210,1.285000,-0.991493,0.248857,0.104587,1147.063743
0.775194,1.290000,-0.991453,0.248889,0.100261,1142.494780
0.772201,1.295000,-0.989828,0.248686,0.084443,1134.211518
0.769231,1.300000,-0.987090,0.248273,0.134870,1123.507176
0.766284,1.305000,-0.990263,0.248737,0.082177,1126.543760
0.763359,1.310000,-0.990133,0.248722,0.108078,1121.973394
0.760456,1.315000,-0.988443,0.248503,0.112454,1113.778019
0.757576,1.320000,-0.987110,0.248254,0.117285,1106.525625
0.754717,1.325000,-0.989270,0.248549,0.111315,1107.321713
0.751880,1.330000,-0.991283,0.248851,0.085990,1107.740666
0.749064,1.335000,-0.989013,0.248521,0.100111,1098.420286
0.746269,1.340000,-0.989958,0.248664,0.071117,1096.432241
0.743494,1.345000,-0.991333,0.248786,0.096549,1095.559482
0.740741,1.350000,-0.989888,0.248696,0.067073,1088.123435
0.738007,1.355000,-0.987723,0.248372,0.100566,1079.288619
0.735294,1.360000,-0.986958,0.248224,0.092328,1073.619408
0.732601,1.365000,-0.986130,0.248186,0.137566,1067.857770
0.729927,1.370000,-0.987388,0.248314,0.096212,1066.729236
0.727273,1.375000,-0.982093,0.247563,0.194060,1051.284348
0.724638,1.380000,-0.984805,0.247936,0.140758,1053.375120
0.722022,1.385000,-0.986613,0.248169,0.112990,1053.518509
0.719424,1.390000,-0.983105,0.247698,0.111782,1042.044390
0.716846,1.395000,-0.982943,0.247669,0.182098,1038.058573
0.714286,1.400000,-0.983945,0.247864,0.162275,1036.468699
0.711744,1.405000,-0.983858,0.247832,0.138180,1032.569878
0.709220,1.410000,-0.984063,0.247856,0.165914,1029.393193
0.706714,1.415000,-0.979940,0.247289,0.159520,1016.910236
0.704225,1.420000,-0.984288,0.247822,0.132299,1022.617387
0.701754,1.425000,-0.978665,0.247099,0.169656,1007.093567
0.699301,1.430000,-0.979900,0.247324,0.207787,1006.210046
0.696864,1.435000,-0.981838,0.247564,0.242508,1006.861455
0.694444,1.440000,-0.980115,0.247344,0.146035,999.594928
0.692042,1.445000,-0.980060,0.247286,0.181834,996.102112
0.689655,1.450000,-0.981003,0.247324,0.145280,994.634786
